ID,Title,About,Score,Categories,img_url,1,2,3,4,5,total_reviews,TA_url
1,Kilmainham Gaol Museum,This bleak old jail was notorious in the 19th century for its harsh treatment of prisoners.,4.5,Speciality Museums • Historic Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/bf/b7/5d/img-20160828-212706-largejpg.jpg?w=900&h=600&s=1,234,259,"1,231","5,926","19,627","27,277",https://www.tripadvisor.ie/Attraction_Review-g186605-d191025-Reviews-Kilmainham_Gaol_Museum-Dublin_County_Dublin.html
7,Jameson Distillery Bow St.,"Since John Jameson's brave first steps into this building in 1780, we've been focused on his ambition to create unforgettable experiences (along with great whiskey, of course). The new look Jameson Distillery Bow St. carries on this ambition through five fully guided experiences: Bow St. Experience Distillery Tour, Premium Whiskey Tasting, Whiskey Blending Class, Whiskey Cocktail Making Class, and a Cask Draw Experience in Dublin's only Live Maturation Warehouse - all of which have a firm focus on immersive storytelling. You'll be invited to touch, smell, and most importantly, taste Jameson in the original Bow St. Distillery buildings. Stay to enjoy the World’s Leading Distillery Tour at this historical landmark and tribute to the craft of Irish whiskey making!",4.5,Distilleries,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/18/dc/ef/jameson-distillery-bow.jpg?w=900&h=600&s=1,165,271,861,"2,757","7,394","11,445",https://www.tripadvisor.ie/Attraction_Review-g186605-d216616-Reviews-Jameson_Distillery_Bow_St-Dublin_County_Dublin.html
8,Experience Glasnevin - Ireland's National Cemetery,"The stories of 1.5 million people are faithfully preserved here at Ireland's largest burial place, a beautifully restored Victorian cemetery featuring epic monuments to our past. From poets and presidents, singers and suffragettes, the ordinary and the extraordinary - the stories of those who shaped our nation's history are brought to life. We are delighted to offer our ever-popular tours and our brand new indoor visitor experience 'Extra-ordinary Lives' Monday to Sunday. We look forward to welcoming you to Experience Glasnevin – Ireland’s National Cemetery.",4.5,Speciality Museums • Cemeteries,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/d0/4e/a7/glasnevin-cemetery-museum.jpg?w=900&h=600&s=1,16,33,246,"1,182","5,660","7,135",https://www.tripadvisor.ie/Attraction_Review-g186605-d214896-Reviews-Experience_Glasnevin_Ireland_s_National_Cemetery-Dublin_County_Dublin.html
9,The Book of Kells and the Old Library Exhibition,"The Book of Kells Exhibition is a must-see on the itinerary of all visitors to Dublin. Located in the heart of the city centre in Trinity College Dublin, the Exhibition displays the Book of Kells, a 9th century manuscript that documents the four Gospels of the life of Jesus Christ. The Book of Kells is Ireland’s greatest cultural treasure and the world’s most famous medieval manuscript. The Exhibition also features access to the Long Room, one of the world’s most beautiful libraries, that houses 200,000 of Trinity College’s oldest books.",4.5,Points of Interest & Landmarks • Libraries,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/49/8f/48/the-long-room-houses.jpg?w=900&h=600&s=1,344,775,"2,940","6,392","13,242","23,691",https://www.tripadvisor.ie/Attraction_Review-g186605-d215062-Reviews-The_Book_of_Kells_and_the_Old_Library_Exhibition-Dublin_County_Dublin.html
5,Irish Whiskey Museum,"Irish whiskey is fast becoming one of the most popular spirits across the World. The Irish Whiskey Museum, based in the heart of Dublin City in a historic building on Grafton Street, tells the complete and unbiased history of Irish whiskey and its importance in Ireland’s turbulent past. The Irish Whiskey Museum is independent of all whiskey distilleries, offering its visitors the opportunity to taste and experience a huge selection of Irish Whiskey. Whether it’s Single Grain, Malt, Pot Still or a Blended Whiskey, the Museum’s whiskey experts will always be able to help you find the perfect whiskey to suit your palate. Tours take place from 10am-6pm every day, while visitors can experience a variety of live traditional music, storytelling and events every Friday, Saturday and Sunday evening until 10.30pm.",5.0,Speciality Museums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/5d/59/10/our-tour-guide-daragh.jpg?w=900&h=600&s=1,54,62,286,"1,286","9,377","11,064",https://www.tripadvisor.ie/Attraction_Review-g186605-d7222524-Reviews-Irish_Whiskey_Museum-Dublin_County_Dublin.html
6,St Stephens Green,"Beautiful urban park immortalized in James Joyce's ""Ulysses.""",4.5,Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/54/1d/5f/prato-di-st-stephen.jpg?w=900&h=600&s=1,35,65,997,"5,345","10,434","16,876",https://www.tripadvisor.ie/Attraction_Review-g186605-d189054-Reviews-St_Stephens_Green-Dublin_County_Dublin.html
10,Killarney National Park,,5.0,National Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/ff/20/1d/the-little-lake-on-gap.jpg?w=900&h=600&s=1,10,7,86,"1,067","6,118","7,288",https://www.tripadvisor.ie/Attraction_Review-g186612-d218643-Reviews-Killarney_National_Park-Killarney_County_Kerry.html
4,Cliffs of Moher,"Spectacular cliffs stretching 700 feet over the rugged Atlantic coast is part of the Burren and Cliffs of Moher UNESCO Geopark and is a Special Protected Area for Birds and Wildlife, home to 35 species of birds. The Cliffs of Moher Visitor Experience operates under an ethos of sustainability, environmental protection and conservation. Safe accessible viewing areas and pathways along the cliff edge appeal to all levels of ability. A short walk to O'Brien's Tower provides an excellent lookout on Ireland's beautiful western shoreline. The Visitor Centre hidden underneath the hillside houses an exhibition, two cafes, gift shop, toilets, first aid centre, information points and baggage store. Admission includes access to all areas, map and secure parking. The Cliffs of Moher Visitor Experience is a signature point on the Wild Atlantic Way.",4.5,Points of Interest & Landmarks • Lookouts • Geologic Formations,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/03/f3/52/photo5jpg.jpg?w=900&h=600&s=1,187,184,663,"2,322","11,174","14,530",https://www.tripadvisor.ie/Attraction_Review-g1184916-d214806-Reviews-Cliffs_of_Moher-Liscannor_County_Clare.html
19,Martin McCrossan City Tours,,5.0,City Tours • Historical & Heritage Tours • Walking Tours • Sightseeing Tours • Private Tours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/8b/20/5e/city-tours-team.jpg?w=900&h=600&s=1,6,5,4,54,"1,900","1,966",https://www.tripadvisor.ie/Attraction_Review-g186482-d213706-Reviews-Martin_McCrossan_City_Tours-Derry_County_Londonderry_Northern_Ireland.html
17,Spike Island,"Discover Ireland's Captains & Convicts and Sinners and Saints at Spike Island Cork, Ireland's historic island. Voted Europe's Leading Tourist Attraction of 2017! The Island is located off the coast of Cobh in Cork harbour & has over 1300 years of Irish history. From an island monastery & fortress to the world's largest prison in the 1850's and centuries of island homes. Your journey starts with a ferry ride before Ireland's best storytellers take you on a guided tour of the outer island and fortress. You can then self explore our prison cells, fortress, beautiful island walks and also use our on-site cafe. Attractions include the 1850's punishment block, the 1980's prison cells and riot exhibition, Ireland's largest artillery gun park and several penal, military and social history museums. With activities for children and families and guided and self-guided tours, Spike Island has something for everyone. Audio guides available, cafe and gift shop on site.",5.0,Islands,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/96/f3/b1/our-island-from-above.jpg?w=900&h=600&s=1,31,12,49,460,"2,457","3,008",https://www.tripadvisor.ie/Attraction_Review-g211925-d1857499-Reviews-Spike_Island-Cobh_County_Cork.html
